BILLING_ADDRESS,BILLING_ADDRESS_CITY_STATE_ZIP,AGENT_ENTITY,AGENT_FIRST_NAME,AGENT_LAST_NAME,AGENT_MIDDLE_NAME,AGENT_PHONE,SITE_ADDRESS,BBL_CITY_STATE_ZIP,BILLING_NAME,CUSTOMER_NUMBER,DC_ADDR_FLAG,LICENSECATEGORY,ENTITY_NAME,FIRST_NAME,LAST_NAME,DCS_ADD_DATE,LICENSE_END_DATE,LICENSE_ISSUE_DATE,LICENSE_START_DATE,LICENSE_CATEGORY_TEXT,LICENSE_CATEGORY_CODE,LICENSESTATUS,PHONE_NUMBER,CITY,STATE,ZIP,BBL_LICENSE_FACT_ID,LATITUDE,LONGITUDE,XCOORD,YCOORD,ZIPCODE,MARADDRESSREPOSITORYID,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,BUSINESSIMPROVEMENTDISTRICT,MAINSTREET,DCS_LAST_MOD_DTTM,GLOBALID,OBJECTID
,1023 EAST CAPITOL ST WASHINGTON DC 20003 ,,ATILLA,SUZER,,,1023 EAST CAPITOL ST SE ,WASHINGTON DC 20003,WINEANDBUTTERr LLC,930817000017,Y,Grocery Store,WINEANDBUTTERr LLC,,,,2027/04/30 04:00:00+00,2025/04/09 04:00:00+00,2025/05/01 04:00:00+00,Public Health Food Establish,9305,Active,2025507939,WASHINGTON,DC,20003,551000549,38.88952663,-76.99171037,400719.18,135742.67,,75210,6,ANC 6B,6B05,FIRST,107,Cluster 26,,,2026/04/03 08:30:22+00,{4E8BF186-868C-6B09-E063-782F520A8A93},393095293
,104 KENNEDY STREET N WASHINGTON DC 20011 ,,JOHN,ZERAI,,2027341005,104 KENNEDY ST NW ,WASHINGTON DC 20011,FIYAMETA L.L.C.,930815000024,Y,Grocery Store,FIYAMETA L.L.C.,,,,2028/02/29 05:00:00+00,2026/02/19 05:00:00+00,2026/02/19 05:00:00+00,Public Health Food Establish,9308,Active,2027224163,WASHINGTON,DC,20011,551037247,38.95639308,-77.01209203,398951.92,143165.45,,245887,4,ANC 4B,4B08,FOURTH,406,Cluster 17,,,2026/04/03 08:30:26+00,{4E8BF187-0241-6B09-E063-782F520A8A93},393126962
,1064 BLADENSBURG ROA WASHINGTON DC 20002 ,,KIFLOM T,MELES,,202-545-0009,1064 BLADENSBURG RD NE ,WASHINGTON DC 20002,FANA INC.,930817000012,Y,Grocery Store,FANA INC.,,,,2027/02/28 05:00:00+00,2025/03/03 05:00:00+00,2025/03/01 05:00:00+00,Public Health Food Establish,4103,Active,7034856087,WASHINGTON,DC,20002,551032861,38.9039767,-76.98109167,401640.09,137346.88,,276160,5,ANC 5D,5D06,FIFTH,506,Cluster 23,,,2026/04/03 08:30:25+00,{4E8BF186-F4A8-6B09-E063-782F520A8A93},393123481
,6833 4th Street NW Washington DC 20012 ,Nicolas Cabrera,,,,,1100 4TH ST ,WASHINGTON DC 20002,Lost Sock Roasters,930825000034,Y,Grocery Store,Lost Sock Roasters,,,,2029/04/30 04:00:00+00,2025/05/28 04:00:00+00,2025/05/01 04:00:00+00,Public Health Food Establish,9305,Active,,WASHINGTON,DC,20002,550958933,38.9038822,-77.000825,399928.44,137336.22,,74582,6,ANC 6C,6C07,FIFTH,501,Cluster 25,,,2026/04/03 08:30:19+00,{4E8BF185-F8D3-6B09-E063-782F520A8A93},393059012
,1115 U ST NW WASHINGTON DC 20009 ,Adanech Gebremeskel,,,,,1115 U ST ,WASHINGTON DC 20009,RAMI 2,930825000024,Y,Grocery Store,RAMI 2,,,,2027/03/31 04:00:00+00,2025/04/10 04:00:00+00,2025/04/01 04:00:00+00,Public Health Food Establish,9101,Active,,WASHINGTON,DC,20009,551010448,38.9172065,-77.02775344,397593.14,138815.73,,309088,1,ANC 1B,1B08,THIRD,305,Cluster 3,,,2026/04/03 08:30:23+00,{4E8BF186-A710-6B09-E063-782F520A8A93},393103617
,1136 FLORIDA AVENUE  WASHINGTON DC 20002 ,UNITED STATES CORPORATION AGENTS INC.,,,,2027608545,1136 FLORIDA AVE NE ,WASHINGTON DC 20002,"BODEGA MARKET, LLC.",930814000013,Y,Grocery Store,"BODEGA MARKET, LLC.",,,,2028/01/31 05:00:00+00,2026/01/13 05:00:00+00,2026/02/01 05:00:00+00,Public Health Food Establish,9308,Active,2027608545,WASHINGTON,DC,20002,551002131,38.90303925,-76.99035441,400836.66,137242.69,,73050,5,ANC 5D,5D03,FIFTH,506,Cluster 23,,,2026/04/03 08:30:23+00,{4E8BF186-8B17-6B09-E063-782F520A8A93},393096456
,1201 MOUNT OLIVET RD WASHINGTON DC 20002 ,"SHAPIRO, LIFSCHITZ AND SCHRAM",,,,2026891900,1201 MOUNT OLIVET RD NE ,WASHINGTON DC 20002,JSSI-PINE LLC.,930816000010,Y,Grocery Store,JSSI-PINE LLC.,,,,2027/11/30 05:00:00+00,2025/10/28 04:00:00+00,2025/12/01 05:00:00+00,Public Health Food Establish,4103,Active,7036258800,WASHINGTON,DC,20002,551032860,38.90978168,-76.98481102,401317.37,137991.22,,285914,5,ANC 5D,5D05,FIFTH,506,Cluster 23,,,2026/04/03 08:30:25+00,{4E8BF186-F4A7-6B09-E063-782F520A8A93},393123480
SUITE #1,1221 Massachusetts A Washington DC 20005 ,"INCORP SERVICES,INC.",,,,2024147891,1221 MASSACHUSETTS AVE NW ,WASHINGTON DC 20005,S & H 4 INC.,930817000032,Y,Grocery Store,S & H 4 INC.,,,,2027/05/31 04:00:00+00,2025/06/12 04:00:00+00,2025/06/01 04:00:00+00,Public Health Food Establish,9308,Active,2024147891,WASHINGTON,DC,20005,550959023,38.90500016,-77.02904213,397480.95,137460.76,,240918,2,ANC 2F,2F08,THIRD,307,Cluster 8,,,2026/04/03 08:30:19+00,{4E8BF185-F863-6B09-E063-782F520A8A93},393058900
,1231 11th STREET N.W WASHINGTON DC 20001 ,,Doo Yun,Park,,703-615-9574,1231 11TH ST NW ,WASHINGTON DC 20001,"AMKO INTERNATIONAL, INC.",53004860,Y,Grocery Store,"AMKO INTERNATIONAL, INC.",,,,2027/08/31 04:00:00+00,2025/08/08 04:00:00+00,2025/08/01 04:00:00+00,Public Health Food Establish,9308,Active,9999999999,WASHINGTON,DC,20001,550971672,38.90676492,-77.02668384,397685.56,137656.6,,239341,2,ANC 2F,2F08,THIRD,307,Cluster 7,,,2026/04/03 08:30:20+00,{4E8BF186-246E-6B09-E063-782F520A8A93},393070175
,1238 W ST NE Washington DC 20018 ,ERNESTO F. PEREZ,,,,,1238 W ST NE ,Washington DC 20018,INTERNATIONAL WHOLESALERS,930825000036,Y,Grocery Store,INTERNATIONAL WHOLESALERS,,,,2029/05/31 04:00:00+00,2025/06/12 04:00:00+00,2025/06/01 04:00:00+00,Public Health Food Establish,9306,Active,,WASHINGTON,DC,20018,551037225,38.91942911,-76.98829835,401014.77,139062.12,,302187,5,ANC 5C,5C05,FIFTH,505,Cluster 22,,,2026/04/03 08:30:26+00,{4E8BF187-022F-6B09-E063-782F520A8A93},393126944
,1245 5TH STREET NW WASHINGTON DC 20001 ,MESKELU GEBRESELASE,,,,,1245 5TH ST NW ,WASHINGTON DC 20001,ELLE YAME LLC,930821000008,Y,Grocery Store,ELLE YAME LLC,,,,2027/05/31 04:00:00+00,2025/05/30 04:00:00+00,2025/06/01 04:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20001,551002140,38.90710516,-77.01868191,398379.62,137694.16,,237464,2,ANC 2G,2G06,THIRD,308,Cluster 7,,,2026/04/03 08:30:23+00,{4E8BF186-8B1E-6B09-E063-782F520A8A93},393096463
,1265-1267 4th STEET  WASHINGTON DC 20002 ,,HOUSHANG,MOMENIAN,,,1265 1267 4TH ST NE ,WASHINGTON DC 20002,BEST VALUE LLC.,930823000006,Y,Grocery Store,BEST VALUE LLC.,,,,2027/08/31 04:00:00+00,2025/08/28 04:00:00+00,2025/08/28 04:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20002,550999387,38.90824218,-76.99937245,400054.43,137820.25,,69258,5,ANC 5D,5D01,FIFTH,501,Cluster 23,,,2026/04/03 08:30:22+00,{4E8BF186-8340-6B09-E063-782F520A8A93},393094449
,1303 Marion Barry Av Washington DC 20020 ,CHRISTOHER WELLS BRADSHAW,,,,,1303 GOOD HOPE RD ,WASHINGTON DC 20020,"DREAMING OUT LOUD, INC.",930825000022,Y,Grocery Store,"DREAMING OUT LOUD, INC.",,,,2029/02/28 05:00:00+00,2025/03/27 04:00:00+00,2025/03/01 05:00:00+00,Public Health Food Establish,9306,Active,,WASHINGTON,DC,20020,551037224,38.8668233469,-76.9868481832,401141.37,133222.52,,286027,8,ANC 8A,8A06,SEVENTH,701,Cluster 28,Anacostia BID,,2026/04/03 08:30:26+00,{4E8BF187-022E-6B09-E063-782F520A8A93},393126943
,1308 5th STREET N.E. WASHINGTON DC 20002 ,,MOHAMMED,RASHAD,,2022327108,1308 5TH ST NE ,WASHINGTON DC 20002,BIG VALLEY INC.,67000316,Y,Grocery Store,BIG VALLEY INC.,,,,2026/12/31 05:00:00+00,2025/03/18 04:00:00+00,2025/01/01 05:00:00+00,Public Health Food Establish,9308,Active,2025445477,WASHINGTON,DC,20002,550940660,38.90901748,-76.99809253,400165.44,137906.28,,286034,5,ANC 5D,5D01,FIFTH,501,Cluster 23,,,2026/04/03 08:30:18+00,{4E8BF189-63FA-6B09-E063-782F520A8A93},393283051
,1309 5th STREET N.E. WASHINGTON DC 20002 ,,ABEDALELAH,ALMAALA,H,(202) 546-2290,1309 5TH ST NE ,WASHINGTON DC 20002,,64001712,Y,Grocery Store,,ABEDALELAH,ALMAALA,,2026/08/31 04:00:00+00,2024/08/20 04:00:00+00,2024/09/01 04:00:00+00,Public Health Food Establish,9308,Active,2025462290,WASHINGTON,DC,20002,550967601,38.90871669,-76.99765027,400203.8,137872.89,,301991,5,ANC 5D,5D01,FIFTH,501,Cluster 23,,,2026/04/03 08:30:19+00,{4E8BF186-168C-6B09-E063-782F520A8A93},393066621
,1348 MARION BARRY AV WASHINGTION DC 20020 ,ADANECH GEBREMESKEL,,,,,1348 MARION BARRY AVE SE ,WASHINGTON DC 20020,ABDI US,930825000042,Y,Grocery Store,ABDI US,,,,2027/08/31 04:00:00+00,2025/08/15 04:00:00+00,2025/08/15 04:00:00+00,Public Health Food Establish,4003,Active,,WASHINGTON,DC,20020,551033148,38.86705173,-76.98551898,401256.72,133247.89,,338193,8,ANC 8A,8A02,SIXTH,607,Cluster 34,Anacostia BID,,2026/04/03 08:30:26+00,{4E8BF186-F442-6B09-E063-782F520A8A93},393123379
,1370 PARK ROAD NW WASHINGTON DC 20010 ,ADANECH GEBREMESKEL,,,,,1370 PARK RD NW ,WASHINGTON DC 20010,PARK MART,930825000041,Y,Grocery Store,PARK MART,,,,2027/07/31 04:00:00+00,2025/07/28 04:00:00+00,2025/07/28 04:00:00+00,Public Health Food Establish,4003,Active,,WASHINGTON,DC,20010,551005202,38.9304694,-77.03173718,397248.17,140288.1,,302715,1,ANC 1A,1A06,THIRD,302,Cluster 2,,,2026/04/03 08:30:23+00,{4E8BF186-9564-6B09-E063-782F520A8A93},393099093
,1396 FLORIDA AVENUE  WASHINGTION DC 20002 ,MOHAMMEDJEMAL  MOHAMMEDNUE,,,,,1396 FLORIDA AVE ,WASHINGTON DC 20002,HUDA,930825000037,Y,Grocery Store,HUDA,,,,2027/05/31 04:00:00+00,2025/06/24 04:00:00+00,2025/06/01 04:00:00+00,Public Health Food Establish,9101,Active,,WASHINGTON,DC,20002,551010449,38.9011123,-76.98536888,401269.14,137028.84,,286118,5,ANC 5D,5D03,FIFTH,506,Cluster 23,,,2026/04/03 08:30:23+00,{4E8BF186-A711-6B09-E063-782F520A8A93},393103618
,1399 HALF ST SW WASHINGTON DC 20024 ,"ACE CORPORATE SERVICES, INC",,,,9999999999,1399 HALF ST SW ,WASHINGTON DC 20024,"FRIENDLY DAVID'S MARKET, INC.",53002607,Y,Grocery Store,"FRIENDLY DAVID'S MARKET, INC.",,,,2027/08/31 04:00:00+00,2025/07/25 04:00:00+00,2025/09/01 04:00:00+00,Public Health Food Establish,9308,Active,2024843114,WASHINGTON,DC,20024,551002126,38.87312863,-77.01083323,399059.93,133922.39,,276537,6,ANC 6D,6D08,FIRST,105,Cluster 9,,,2026/04/03 08:30:23+00,{4E8BF186-8B13-6B09-E063-782F520A8A93},393096452
,1412 14TH ST NW WASHINGTON DC 20005 ,ALKHANBESHI M SALEM,,,,,1412 14TH ST NW ,WASHINGTON DC 20005,ALKHANBESHI GLOBAL,930824000018,Y,Grocery Store,ALKHANBESHI GLOBAL,,,,2026/07/31 04:00:00+00,2024/08/16 04:00:00+00,2024/08/01 04:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20005,551037262,38.909337,-77.03221987,397205.49,137942.24,,218115,2,ANC 2F,2F03,SECOND,208,Cluster 7,,,2026/04/03 08:30:26+00,{4E8BF187-024E-6B09-E063-782F520A8A93},393126975
,1412 PENNSYLVANIA AV WASHINGTON DC 20003 ,ABAS Beseremo,,,,,1412 PENNSYLVANIA AVE SE ,WASHINGTON DC 20003,RIHANA INC,930822000010,Y,Grocery Store,RIHANA INC,,,,2027/12/31 05:00:00+00,2025/12/30 05:00:00+00,2026/01/01 05:00:00+00,Public Health Food Establish,9308,Active,2028038651,WASHINGTON,DC,20003,550999385,38.88026222,-76.98456779,401339.02,134714.33,,64660,6,ANC 6B,6B09,FIRST,106,Cluster 26,Capitol Hill BID,,2026/04/03 08:30:22+00,{4E8BF186-833E-6B09-E063-782F520A8A93},393094447
