X,Y,STORE,ADDRESS,ZIPCODE,WARD,ANC,SNAP_MATCH,WIC_VENDOR,XCOORD,YCOORD,LATITUDE,LONGITUDE,MAR_ID,GIS_ID,GLOBALID,CREATED,EDITED,OBJECTID
-8563310.56473305,4707053.13103212,A-1 Grocery,615 DIVISION AVENUE NE,,Ward 7,ANC 7C,x,x,406460.41,136670.83,38.89786439,-76.92552537,4148,HealthyCornerStorePt_321,{60E2F2A8-03E1-4F51-B451-FBCFE50BBB4D},2024/10/01 21:42:08+00,2024/10/01 21:43:05+00,321
-8570527.30294272,4707793.34496135,Bodega Market,1136 FLORIDA AVENUE NE,20002,Ward 5,ANC 5D, , ,400836.66,137242.69,38.90303925,-76.99035441,73050,HealthyCornerStorePt_322,{F160238B-82A2-4DB7-B990-87D5E2CF247B},2024/10/01 21:42:08+00,2024/10/01 21:43:05+00,322
-8573724.66018656,4718097.80272421,BP Blair Gas Station,7000 BLAIR ROAD NW,20012,Ward 4,ANC 4B, , ,398346.95,145235.41,38.97503886,-77.01907675,249127,HealthyCornerStorePt_323,{A1CA0784-2A32-4E56-A29A-5F4B38D634DE},2024/10/01 21:42:08+00,2024/10/01 21:43:05+00,323
-8570922.2238005,4712575.95233773,Brookland Market,3736 10TH STREET NE,20017,Ward 5,ANC 5B, , ,400528.69,140953.26,38.93646518,-76.99390204,156309,HealthyCornerStorePt_324,{5465EF53-2DB5-4847-8F29-007A8912040A},2024/10/01 21:42:08+00,2024/10/01 21:43:05+00,324
-8571141.11733429,4711095.96073694,Brookland Supermarket and Deli,2815 7TH STREET NE,20017,Ward 5,ANC 5F,x, ,400358.26,139805.18,38.92612334,-76.9958684,44401,HealthyCornerStorePt_325,{2E1BF967-E759-49B7-B13F-DD81701B9B84},2024/10/01 21:42:08+00,2024/10/01 21:43:05+00,325
-8572572.82019042,4710581.02564107,Capitol Market,2501 NORTH CAPITOL STREET NE,20002,Ward 5,ANC 5E,x, ,399243,139405.72,38.92252463,-77.0087296,46731,HealthyCornerStorePt_326,{799F66E5-02EB-49ED-8850-2FB82BAF1CFD},2024/10/01 21:42:08+00,2024/10/01 21:43:05+00,326
-8571410.7136048,4697207.59167147,Chesapeake Big Market,601 CHESAPEAKE STREET SE,20032,Ward 8,ANC 8E,x,x,400148.46,129023.53,38.82899807,-76.99829023,151054,HealthyCornerStorePt_327,{8245BB20-0593-4CD8-A6FE-00AB69A737BB},2024/10/01 21:42:08+00,2024/10/01 21:43:05+00,327
-8569883.35643159,4708732.03539755,Circle 7,1211 MOUNT OLIVET ROAD NE,20002,Ward 5,ANC 5D,x,x,401338.3,137971.18,38.90960112,-76.98456974,285930,HealthyCornerStorePt_328,{4849DD5D-F870-4C16-9B93-5575B8F131FA},2024/10/01 21:42:08+00,2024/10/01 21:43:05+00,328
-8565688.68248206,4707466.83573802,Circle 7 Express,740 KENILWORTH AVENUE NE,20019,Ward 7,ANC 7D,x, ,404607.06,136990.6,38.90075666,-76.94688836,288937,HealthyCornerStorePt_329,{2AE2AC43-50A3-4871-AE7E-301F5D09A56B},2024/10/01 21:42:08+00,2024/10/01 21:43:05+00,329
-8570254.6251981,4702642.80777621,Dan Akil Convenience Store,1223 GOOD HOPE ROAD SE,20020,Ward 8,ANC 8A,x, ,401049.66,133244.73,38.86702387,-76.98790491,71043,HealthyCornerStorePt_330,{A1EC2235-056F-4226-B923-85CB7853302C},2024/10/01 21:42:08+00,2024/10/01 21:43:05+00,330
-8569647.27787446,4702133.17837362,DC Food Market,2200 16TH STREET SE,20020,Ward 8,ANC 8A,x, ,401523.22,132849.11,38.86345927,-76.98244902,50746,HealthyCornerStorePt_331,{5C4478C9-8178-497E-9D79-F94DECE14E39},2024/10/01 21:42:08+00,2024/10/01 21:43:05+00,331
-8572980.50174668,4709524.34727325,DC Mini Supermarket,1828 1ST STREET NW,20001,Ward 5,ANC 5E, , ,398925.31,138585.92,38.91513927,-77.01239186,218526,HealthyCornerStorePt_332,{330224B0-A8EC-4629-8E0D-3C48AEC1132C},2024/10/01 21:42:08+00,2024/10/01 21:43:05+00,332
-8567138.64089567,4711624.64645813,Dollar Plus Food Store (Bladensburg Road),3182 BLADENSBURG ROAD NE,20018,Ward 5,ANC 5C, , ,403475.8,140216.07,38.92981797,-76.95991355,287723,HealthyCornerStorePt_333,{B0D197C9-9D5D-4AEE-A636-64B5481867AD},2024/10/01 21:42:08+00,2024/10/01 21:43:05+00,333
-8568259.16401775,4703458.64895443,Dollar Plus Food Store (Penn Avenue),2529 PENNSYLVANIA AVENUE SE,20020,Ward 7,ANC 7B,x, ,402605.1,133878.5,38.8727299,-76.96997938,302054,HealthyCornerStorePt_334,{718D70C8-8A47-4D81-A0AB-C79C0D81252A},2024/10/01 21:42:08+00,2024/10/01 21:43:05+00,334
-8565179.3892006,4706373.68704994,E Market,4202 BENNING ROAD NE,20019,Ward 7,ANC 7F, , ,405004.45,136142.45,38.89311405,-76.9423133,25566,HealthyCornerStorePt_335,{AF152AE0-0429-47A9-AFEE-76975DFB0D5D},2024/10/01 21:42:08+00,2024/10/01 21:43:05+00,335
-8569230.57390169,4706639.69363707,Economy Market,1804 D STREET NE,20002,Ward 7,ANC 7D,x, ,401847.28,136347.54,38.89497354,-76.9787057,56044,HealthyCornerStorePt_336,{FFF46AA2-4238-4E7F-BFA0-426989267D9C},2024/10/01 21:42:08+00,2024/10/01 21:43:05+00,336
-8572450.51105895,4696762.97931689,Elmira Market,4401 SOUTH CAPITOL STREET SW,20032,Ward 8,ANC 8D,x,x,399337.38,128678.16,38.82588624,-77.00763088,299727,HealthyCornerStorePt_337,{424AD1A1-B737-46A5-8A00-F3B7A3BF9A49},2024/10/01 21:42:08+00,2024/10/01 21:43:05+00,337
